ID	Description	Type
100027	SPV: Software was not able to create network socket: errno={0}, socket={1}. 	Fault
100028	CPU temperature sensor {0} reading {1} C is out of range.	Fault
100029	CPU temperature sensor {0} failed.	Fault
100101	Configuration file on SPV controller flash card doesn't match that on workstation. Configuration contains invalid CRC, calculated = {0}, from the workstation = {1}.	Fault
100103	During beam on in clinical mode, SPV detects an existing Command channel is disconnected or a new Command channel is created.	Fault
101000	Could not open beam loop on node {0}.	Fault
101001	Could not close beam loop on node {0}.	Fault
101002	Beam loop test failed on node {0}.	Fault
101004	BEL closed while SPV in Power-Off state; BEL is supposed to be open while SPV in Power-Off state.	Fault
101005	BEL closed while SPV in Standby; BEL is supposed to be open while SPV in Standby state.	Fault
101006	Beam loop switch could not be closed on node {0}.	Fault
101100	Motion loop could not be opened on node {0}.	Fault
101101	Could not close motion loop on node {0}.	Fault
101102	During loop test, node {0} failed to open or close the motion enable safety loop (MEL).	Fault
101104	MEL closed while SPV in Power-Off state; MEL is supposed to be open while SPV in Power-Off state.	Fault
101106	Motion loop switch could not be closed on node {0}.	Fault
101200	Power loop could not be opened on node {0}.	Fault
101201	Could not close power loop on node {0}.	Fault
101202	Power loop test failed on node {0}.	Fault
101203	Power loop opened unexpectedly on node {0}.	Fault
101204	PEL closed while SPV in Power-Off state; PEL is supposed to be open while SPV in Power-Off state.	Fault
101206	Power loop switch could not be closed on node {0}.	Fault
101300	Could not open KVBEL loop on node {0}.	Fault
101301	Could not close KVBEL loop on node {0}.	Fault
101302	KVBEL loop test failed at node {0}.	Fault
101304	KVBEL closed while SPV in Power-Off state; KVBEL is supposed to be open while SPV in Power-Off state.	Fault
101305	KVBEL closed while SPV in Standby state; KVBEL is supposed to be open while SPV in Standby state.	Fault
101306	KV beam loop switch could not be closed on node {0}.	Fault
110000	Gantry Rtn axis position {0} deviates from standstill position {1}.	Fault
110001	Gantry Rtn axis position {0} deviates from requested position {1}.	Fault
110004	Gantry Rtn axis motor is slipping.	Fault
110200	Collimator axis position {0} deviates from standstill position {1}.	Fault
110201	SPV: CollRtn axis position {0} deviates from requested position {1}.	Fault
110204	SPV: Coll Rtn axis motor is slipping.	Fault
110400	SPV: Couch Vrt axis position {0} deviates from standstill position {1}.	Fault
110401	SPV: Couch Vrt axis position {0} deviates from requested position {1}.	Fault
110404	SPV: Couch Vertical axis motor is slipping.	Fault
110600	SPV: Couch Lat axis position {0} deviates from standstill position {1}.	Fault
110601	SPV: Couch Lat axis position {0} deviates from requested position {1}.	Fault
110604	SPV: Couch Lat axis motor is slipping.	Fault
110800	SPV: Couch Lng axis position {0} deviates from standstill position {1}.	Fault
110801	Couch Lng axis position {0} deviates from requested position {1}.	Fault
110804	SPV: Couch Lng axis motor is slipping.	Fault
111000	SPV: Couch Rtn axis position {0} deviates from standstill position {1}.	Fault
111001	Couch Rtn axis position {0} deviates from requested position {1}.	Fault
111004	SPV: CouchRtn axis motor is slipping.	Fault
111200	SPV: X1 axis position {0} deviates from standstill position {1}.	Fault
111201	SPV: X1 axis position {0} deviates from requested position {1}.	Fault
111204	SPV: X1 axis motor is slipping.	Fault
111400	SPV: X2 axis position {0} deviates from standstill position {1}.	Fault
111401	SPV: X2 axis position {0} deviates from requested position {1}.	Fault
111404	SPV: X2 axis motor is slipping.	Fault
111600	SPV: Y1 axis position {0} deviates from standstill position {1}.	Fault
111601	SPV: Y1 axis position {0} deviates from requested position {1}.	Fault
111604	SPV: Y1 axis motor is slipping.	Fault
111800	SPV: Y2 axis position {0} deviates from standstill position {1}.	Fault
111801	SPV: Y2 axis position {0} deviates from requested position {1}.	Fault
111804	SPV: Y2 axis motor is slipping.	Fault
112400	SPV: MVD_Shoulder axis position {0} deviates from standstill position {1}.	Fault
112401	SPV: MVD_Shoulder axis position {0} is deviating from requested position {1}.	Fault
112404	SPV: MVD_Shoulder axis motor is slipping.	Fault
112600	SPV: MVD_Elbow axis position {0} deviates from standstill position {1}.	Fault
112601	SPV: MVD_Elbow axis position {0} deviates from requested position {1}.	Fault
112604	SPV: MVD_Elbow axis motor is slipping.	Fault
112800	SPV: MVD_Wrist axis position {0} deviates from standstill position {1}.	Fault
112801	SPV: MVD_Wrist axis position {0} deviates from requested position {1}.	Fault
112804	SPV: MVD_Wrist axis motor is slipping.	Fault
113000	SPV: MVD_Hand axis position {0} deviates from standstill position {1}.	Fault
113001	SPV: MVD_Hand axis position {0} deviates from requested position {1}.	Fault
113004	SPV: MVD_Hand axis motor is slipping.	Fault
113200	SPV: KVD_Shoulder axis position {0} deviates from standstill position {1}.	Fault
113201	SPV: KVD_Shoulder axis position {0} deviates from requested position {1}.	Fault
113204	SPV: KVD_Shoulder axis motor is slipping.	Fault
113400	SPV: KVD_Elbow axis position {0} deviates from standstill position {1}.	Fault
113401	SPV: KVD_Elbow axis position {0} deviates from requested position {1}.	Fault
113404	SPV: KVD_Elbow axis motor is slipping.	Fault
113600	SPV: Couch Vrt axis position {0} deviates from standstill position {1}.	Fault
113601	SPV: Couch Vrt axis position {0} deviates from requested position {1}.	Fault
113604	SPV: KVD_Wrist axis motor is slipping.	Fault
113800	SPV: Couch Vrt axis position {0} deviates from standstill position {1}.	Fault
113801	SPV: KVD_Hand axis position {0} deviates from requested position {1}.	Fault
113804	SPV: KVD_Hand axis motor is slipping.	Fault
114000	SPV: KVS_Shoulder axis position {0} deviates from standstill position {1}.	Fault
114001	SPV: KVS_Shoulder axis position {0} deviates from requested position {1}.	Fault
114004	SPV: KVS_Shoulder axis motor is slipping.	Fault
114200	SPV: KVS_Elbow axis position {0} deviates from standstill position {1}.	Fault
114201	SPV: KVS_Elbow axis position {0} deviates from requested position {1}.	Fault
114204	SPV: KVS_Elbow axis motor is slipping.	Fault
114400	SPV: KVS_Wrist axis position {0} deviates from standstill position {1}.	Fault
114401	SPV: KVS_Wrist axis position {0} deviates from requested position {1}.	Fault
114404	SPV: KVS_Wrist axis motor is slipping.	Fault
114600	SPV: KVS_Hand axis position {0} deviates from standstill position {1}.	Fault
114601	SPV: KVS_Hand axis position {0} deviates from requested position {1}.	Fault
114604	SPV: KVS_Hand axis motor is slipping.	Fault
117000	Couch Pitch axis position {0} deviates from standstill position {1}.	Fault
117001	SPV: CouchPit axis position {0} deviates from requested position {1}.	Fault
117004	SPV: CouchPit axis motor is slipping.	Fault
117200	Couch Roll axis position {0} deviates from standstill position {1}.	Fault
117201	SPV: CouchRol axis position {0} deviates from requested position {1}.	Fault
117204	SPV: CouchRol axis motor is slipping.	Fault
120001	Internal communications were lost  All nodes disconnected from the Supervisor (SPV) at the same time.	Fault
121000	Communication issue: BGM node is disconnected.	Fault
121001	SPV: BGM node control software version is incompatible with Supervisor	Fault
121003	SPV: BGM node hardware is Kontron and Supervisor is ADLINK, or node hardware is Zynq/ADLINK and Supervisor is Kontron.	Fault
121500	Communication issue: STN node is disconnected.	Fault
121501	SPV: STN node version is incompatible.	Fault
121503	SPV: STN node hardware is Kontron and Supervisor is ADLINK, or node hardware is Zynq/ADLINK and Supervisor is Kontron.	Fault
122000	Communication issue: COL node is disconnected.	Fault
122001	COL node software version is incompatible with Supervisor.	Fault
122003	SPV: COL node hardware is Kontron and Supervisor is ADLINK, or node hardware is Zynq/ADLINK and Supervisor is Kontron.	Fault
122300	SPV: MLC leaf number in configuration does not correspond with leaf number {0} on collimator node	Fault
122500	Communication issue: XI node is disconnected.	Fault
122501	SPV: XI node version is incompatible.	Fault
123500	Communication issue: CCHU node is disconnected.	Fault
123501	Node board was not updated with current software version.	Fault
123503	SPV: CCHU node hardware is Kontron and Supervisor is ADLINK, or node hardware is Zynq/ADLINK and Supervisor is Kontron.	Fault
130000	MLC BankA carriage drifting	Fault
130001	MLC BankA carriage out of tolerance	Fault
130500	MLC BankA leaf drifting	Fault
130501	MLC BankA leaf out of tolerance	Fault
131000	MLC BankB carriage drifting	Fault
131001	MLC BankB carriage out of tolerance	Fault
131500	MLC BankB leaf drifting	Fault
131501	MLC BankB leaf out of tolerance	Fault
135000	SPV: Watchdog: System control initialization took too long	Fault
135001	SPV: Watchdog: BeamAbort command handler took too long.	Fault
135002	SPV: Watchdog: BeamAuthorize command handler took too long	Fault
135004	SPV: Watchdog: BeamRead command handler took too long	Fault
135005	SPV: Watchdog: BeamReadHistory command handler took too long	Fault
135006	SPV: Watchdog: BeamReleaseHistory command handler took too long	Fault
135007	SPV: Watchdog: BeamSet command handler took too long	Fault
135008	SPV: Watchdog: CrcSet command handler took too long	Fault
135009	SPV: Watchdog: FaultAck command handler took too long	Fault
135010	SPV: Watchdog: Reset command handler took too long	Fault
135011	SPV: Watchdog: Standby command handler took too long	Fault
135012	SPV: Watchdog: TargetGet command handler took too long	Fault
135013	SPV: Watchdog: TargetSet command handler took too long	Fault
135014	SPV: Watchdog: TimeSet command handler took too long	Fault
135015	SPV: Watchdog: Status publisher took too long	Fault
135016	SPV: Watchdog: Node status receiving took too long	Fault
135017	SPV: Watchdog: Creating and sending node orders took too long	Fault
135018	SPV: Watchdog: Creating beam trajectory took too long	Fault
135019	SPV: Watchdog: Creating motion trajectory took too long	Fault
135020	SPV: Watchdog: setOpMode command handler took too long	Fault
135021	SPV: Watchdog: Dry run command took too long.	Fault
135022	SPV: Watchdog: MotionEnableSet command took too long.	Fault
135023	SPV: Watchdog: Workstation Interlock Set command took too long.	Fault
135024	SPV: Watchdog: Reset Light Timer command took too long.	Fault
135025	SPV: Watchdog: Collect Trajectory Log command handler took too long.	Fault
135026	SPV: Watchdog: Set Audio Profile command took too long	Fault
135027	SPV: Watchdog: Play Sound command handler took too long	Fault
135028	SPV: Watchdog: Read Version command handler took too long	Fault
135029	SPV: Watchdog: Power-cycle command took too long	Fault
135030	SPV: Watchdog: Static Collision Model took too long	Fault
135031	SPV: Watchdog: Collision sensor command took too long	Fault
135032	SPV: Watchdog: DryRunSession command handler took too long.	Fault
135033	SPV: Watchdog: ImagingUpdateCmd command handler took too long.	Fault
135035	SPV: Watchdog: DeltaCouchShift command handler took too long.	Fault
135036	SPV: Watchdog: BeamUnloadEnergy command handler took too long.	Fault
135037	Watchdog timeout 	Fault
135038	Watchdog timeout 	Fault
135039	SPV: Watchdog: MLCAllowRecovery command handler took too long.	Fault
135098	SPV: Watchdog detected a delay in data integrity monitoring function.	Fault
135500	SPV: Task ID = {0} suspended, code = {1}.	Fault
136000	Requested dose {1} deviated from trajectory order {0}.	Fault
136001	SPV: Primary dose and secondary dose do not match.	Fault
136002	SPV: Delivered dose {1} exceeded planned dose {0}.	Fault
136007	SPV: Primary dose {0} and secondary dose {1} do not match for field.	Fault
136008	Total beam time {0} seconds was exceeded for field {1}.	Fault
136009	Treatment dose {1} is not at plan {0}.	Fault
136010	The treatment plan dose {0} at beam hold differs from reported dose {1}.	Fault
136011	Treatment motion axis {0:AXISID} is not at plan.	Fault
136012	SPV: Axis {0} is not moving.	Fault
136013	SPV: Axis {0} does not stop, or beam cannot be turned off.	Fault
136014	Dynamic axis {0} for treatment failed to start.	Fault
136015	Dynamic axis {0} failed to stop after treatment.	Fault
136016	BGM loaded the wrong energy	Fault
136017	Beam Axes cross check failed for Axes Id: {0}, desired axis position according to actual dose is {1}.	Fault
136019	Beam Generator is not delivering dose.	Fault
136020	Performance index {1:F5} of Axis {0} is out of tolerance.	Fault
136021	Performance index {1:F5} of MLC Bank A leaf {0} is out of tolerance.	Fault
136022	Performance index {1:F5} of MLC Bank B leaf {0} is out of tolerance.	Fault
137002	One of the buttons on one of the user input device is stuck	Fault
139000	Motion enable order key {0} and status key {1} do not match.	Fault
139001	Axis {0} motion enable order {1} and hardware status don't match.	Fault
139002	Axis {0} motion was disabled but power is still on.	Fault
140000	Starting image ID {0} at CP {1} failed.	Fault
140001	Stopping image ID {0} at CP {1} failed.	Fault
140002	Timeout occurred on stopping image ID {0} at CP {1}.	Fault
140003	Timeout occurred on waiting for image ID {0} at CP {1}.	Fault
140004	MV Radshot image ID {0} at CP {1} frame read timeout	Fault
140005	Imaging system in fault state	Fault
141000	Failed to activate LaserGuard after {0} seconds	Fault
141001	Static collision model detected a cycle.	Fault
142000	Trajectory engine malfunctioned, because negative step time.	Fault
142001	Trajectory engine malfunctioned, because recursion limit reached	Fault
142002	Trajectory engine malfunctioned, because no suitable transition velocities were found.	Fault
143000	The Gantry Rotation axis exceeded its specified motion capabilities (speed, acceleration, or deceleration).
Cause Code = {0}	Fault
143001	Axis failed capability check: CollRtn with cause: {0}	Fault
143002	The Couch Vertical axis exceeded its specified motion capabilities (speed, acceleration, or deceleration).
Cause Code = {0}	Fault
143003	The Couch Lateral axis exceeded its specified motion capabilities (speed, acceleration, or deceleration).
Cause Code = {0}	Fault
143004	The Couch Longitudinal axis exceeded its specified motion capabilities (speed, acceleration, or deceleration).
Cause Code = {0}	Fault
143050	The MLC Carriage for Bank A exceeded its specified motion capabilities (speed, acceleration, or deceleration).
Cause Code = {0}	Fault
143051	The MLC Carriage for Bank B exceeded its specified motion capabilities (speed, acceleration, or deceleration).
Cause Code = {0}	Fault
143052	A leaf in Bank B has exceeded its specified motion capabilities (speed, acceleration, or deceleration).
Cause Code = {0}	Fault
143053	A leaf in Bank A has exceeded its specified motion capabilities (speed, acceleration, or deceleration).
Cause Code = {0}	Fault
143450	Couch is too close to the bore. 	Fault
200000	BGM: The system asserted interlock {0} that stopped the treatment; see corresponding interlock for details. The interlock may be persistent or transient. If transient, it may disappear from the screen.	Fault
200001	BGM: Software task ID = {0} was unable to post event ID = {1} to message queue.	Fault
200002	BGM: the real-time operating system was not able to create a task.	Fault
200003	BGM: the real-time operating system was not able to create a message queue.	Fault
200005	BGM: The BGM BIOS setting may need reprogram; timer deviation count = {0}.	Fault
200006	BGM: Memory size of at least {0} MB is required, but only {1} MB was detected.	Fault
200007	BGM: flash card size of at least {0} MB is required, but only {1} MB was detected.	Fault
200008	BGM: Software tried to register a duplicated fault ID {0}.	Fault
200009	BSP (Board Support Package) version read from the real-time operating system kernel does not match that specified in the BGM default configuration file.	Fault
200010	The BIOS (Basic Input/Output System) version read from the real-time operating system kernel (which reads the BIOS version from the BIOS itself) does not match the ones specified in the BGM default configuration file.	Fault
200011	BGM: The maximum TCP server connection was exceeded.	Fault
200012	BGM: Timeout occurred in closing socket. 	Fault
200013	BGM: Software detected a null pointer.	Fault
200014	BGM: Software detected an unexpected parameter {0}.	Fault
200015	BGM: Software detected an unexpected return value {0}.	Fault
200016	BGM: Software detected an array index {0} is out of bounds. 	Fault
200017	BGM: Software detected an unexpected enumeration {0}.	Fault
200018	BGM: Software detected a general programming problem. 	Fault
200019	BGM: Software task ID {0} stack overflow; remaining byte {1}.	Fault
200020	BGM: Software task ID {0} suspended; eflags = {1}.	Fault
200021	BGM: At least one of the files on the flash card CRC does not match the expected CRC {0} in the configuration data tree; calculated = {1}. 	Fault
200022	BGM: Code running in memory CRC check mismatch: expected CRC = {0}, actual CRC = {1}. 	Fault
200023	BGM: Software is not able to allocate {0} bytes of memory.	Fault
200024	BGM: In-memory config data check CRC mismatch: expected CRC = {0}, calculated CRC = {1}.	Fault
200025	BGM: Software was not able to read config.xml file.	Fault
200026	BGM: Software was not able to read default.xml file.	Fault
200027	BGM: Software was not able to create network socket: errno={0}, socket={1}. 	Fault
200028	CPU temperature sensor {0} reading {1} C is out of range.	Fault
200029	CPU temperature sensor {0} failed.	Fault
201000	Stand sync pulse did not arrive at the BGM in time. 	Fault
201003	Supervisor sync pulse count doesnt match count at BGM.	Fault
201004	BGM: Configuration CRC in BGM doesn't match that on workstation. Configuration protected element CRC: calculated = {0}, from the workstation = {1}.	Fault
201005	BGM: Software is unable to get correct result from hardware application interface.	Fault
201006	BGM node detected its Beam Enable Loop (BEL) switch cannot be opened during Ready state check.	Fault
201008	BGM node detected its Power Enable Loop (PEL) switch cannot be opened during PowerOff to Standby state check.	Fault
201009	BGM received Supervisor order more than once within 10ms.	Fault
201010	The BGM software detected an incompatible FPGA firmware version. 	Fault
201015	kV Beam Enable Loop (KVBEL) switch cannot be toggled during loop test.	Fault
201016	Software detected an incompatible version of the Carrier PCB.	Fault
201017	BGM: Received Stand sync signal {1} ms is out of range; expected is {0} ms.	Fault
201018	BGM: Received Stand Sync signal has an out of tolerance duty cycle {1} ms; should be {0} ms.	Fault
201019	BGM ADC loopback test failed in channel {0}. 	Fault
201022	BGM: POST FPGA watchdog test failed after waiting for {0}ms	Fault
201023	BGM: Power-on self test (POST) FPGA watchdog test timed out after {0}ms, because the sync signal from the STN is not present.	Fault
201024	BGM: POST FPGA watchdog test did not clear the interlock within the time specified.	Fault
201025	BGM: FPGA file CRC {0} does not match the CRC stored in the config file {1} for the PCB part and dash number.	Fault
201026	PCB header can't be read out properly from Carrier EEPROM.	Fault
201027	BGM: PCI initialization and Power-on self test (POST) return code is {0}.
	Fault
201028	BGM: SPV order message size mismatch, expected = {0}, actual = {1}.	Fault
201033	PCI watchdog timed out.	Fault
201034	Compact Flash card inserted in wrong slot. Expected slot: {0}, actual slot: {1}.	Fault
201035	Failed to convert an Embryonic Compact Flash card to a Carrier-specific card for slot {0}.	Fault
